company,title,location,description,date,link,employees
Mastercard,Software Engineer,"Tel Aviv-Yafo, Tel Aviv District, Israel","Our PurposeWe work to connect and power an inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments and businesses realize their greatest potential. Our decency quotient, or DQ, drives our culture and everything we do inside and outside of our company. We cultivate a culture of inclusion for all employees that respects their individual strengths, views, and experiences. We believe that our differences enable us to be a better team – one that makes better decisions, drives innovation and delivers better business results.Title And SummarySoftware EngineerOverview Responsible for the analysis, design, development and delivery of software solutions Defines requirements for new applications and customizations, adhering to standards, processes and best practicesRole Design, develop, and optimize data pipelines and architectures using Spark, Airflow, and AWS. Implement smart recommendation algorithms and reporting tools tailored to our clients needs. Collaborate with cross-functional teams to brainstorm, design, and implement innovative data solutions. Stay updated with the latest industry trends and technologies to continually improve our data infrastructure and processes. Ensure high-quality deliverables with a focus on performance, scalability, and reliability. ownership of technical design of new featuresExperience Has ability to write secure code in three or more languages Familiar with secure coding standards Understands and implements standard branching (e.g., Gitflow) and peer review practices Understands and builds test code at unit level, service level, and integration level to ensure code and functional coverage Understands the use of basic design patterns Understands requirement analysis being essential part of delivering value to our customers and partners and participate in elaboration, prioritization, and effort estimation Understands different SDLC practices (Waterfall/Scrum/Kanban/SAFe) and the delivery situations they are used for Understands the basic engineering principles used in building and running mission critical software capabilities (security, customer experience, testing, operability, simplification, service-oriented architecture) Familiar with different application patterns to implement different types of business processes Understands Continuous Integration (CI) and Delivery (CD) concepts, and capabilities to support automation, pipelines, virtualization, and containerization Has ability to write code to build automation tasks that are repeatable and efficient Understands functional and non-functional testing types to elaborate and estimate test effortsCorporate Security Responsibility All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and, therefore, it is expected that every person working for, or on behalf of, Mastercard is responsible for information security and must:Abide by Mastercard’s security policies and practices;Ensure the confidentiality and integrity of the information being accessed;Report any suspected information security violation or breach, andComplete all periodic mandatory security trainings in accordance with Mastercard’s guidelines.                                                                         Show less",5 days ago,https://il.linkedin.com/jobs/view/software-engineer-at-mastercard-3960651850?position=8&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=%2B7Ij8RGfi64%2B28EibYl5ZA%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Sentra,Software Engineer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,8 hours ago,https://il.linkedin.com/jobs/view/software-engineer-at-sentra-3963322601?position=10&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=%2BB9%2BB0R6nEPSfkF07VoLEw%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Rayzone Group,Full Stack Developer,"Tel Aviv-Yafo, Tel Aviv District, Israel","We are looking for an experienced, motivated, and results-driven Full Stack Developer to join our R&D team.ResponsibilitiesEnd to end development of new and existing features including client and server-side code, database schemas and communication APIsWorking with other developers and engineers on complex features requiring integration of multiple servicesTaking part in design and code review processWorking with QA and Product teams to create high quality products and appealing visual designKeep up with new technologies to improve the development processRequirementsProven work experience of at least 3 years as a full stack developerKnowledge of web technologies HTML, CSS, JavaScript, HTTPExperience with Vue 3 or any other popular frameworkExperience with Node.js including use of Express.js or Feathers.js Experience with NoSQL data bases, preferably MongoDBExperience with RabbitMQ or other AMQP solutionCommunication and teamwork skillsExperience working in an Agile development processAcademic Degree in Computer Science or relevant field - advantage                                                                         Show less",6 days ago,https://il.linkedin.com/jobs/view/full-stack-developer-at-rayzone-group-3959718152?position=12&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=SY8sY4mK%2B9zjnewtgNMLJw%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Paragon,Full-Stack Developer,Israel,,6 days ago,https://il.linkedin.com/jobs/view/full-stack-developer-at-paragon-3959513702?position=13&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=jc%2Ffnrtdv9BhJS%2Ft0GW4SQ%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Artlist,Full Stack Developer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,1 week ago,https://il.linkedin.com/jobs/view/full-stack-developer-at-artlist-3954042867?position=16&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=khIUhhVpZnvZ8UYqWp%2F4QA%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Meta,"Software Engineer, Machine Learning","Tel Aviv-Yafo, Tel Aviv District, Israel",,1 week ago,https://il.linkedin.com/jobs/view/software-engineer-machine-learning-at-meta-3953551360?position=21&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=vqQOm%2Fs94Avwfwcb4fm5ng%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Meta,"Software Engineer, Infrastructure","Tel Aviv-Yafo, Tel Aviv District, Israel","We are the teams who create all of Meta's products used by billions of people around the world. Want to build new features and improve existing products like Ads, Video, Groups, News Feed, Search and more? Want to solve unique, large scale, highly complex technical problems? Meta is seeking experienced Software Engineers to join our teams. You can help build products that help us connect the next billion people, create new features that have billions of interactions per day and be a part of a team that’s working to help people connect with each other around the globe. Join us!Software Engineer, Infrastructure Responsibilities:Lead complex technical efforts across many engineersDesign core, backend software componentsCode using primarily C/C++, Java, PHP and HackInterface with other teams to incorporate their innovations and vice versaConduct design and code reviewsAnalyze and improve efficiency, scalability, and stability of various system resourcesSet direction and goals for the team regarding project impact, product quality and engineering efficiencyLead major initiatives, projects, teams, roll-outs and phased-releasesHelps onboard new team members, provides mentorship and enables successful ramp up on your team's code basesProactively identify and drive changes as needed for assigned codebase, product area and/or systemsMinimum Qualifications:Programming experience in either C, C++, Java, C# or other relevant coding languagesRelevant experience building large-scale infrastructure applications or similar experienceExperience building and shipping high quality work and achieving high reliabilityExperience improving stability through thoughtful code reviews, appropriate testing, proper rollout, monitoring, and proactive changesExperienced in utilizing data and analysis to explain technical problems and providing detailed feedback and solutionsTrack record of mentoring and growing other EngineersDefining and leading long term plans for the teamPreferred Qualifications:BSc or MSc in Computer Science or related field (or equivalent industry experience)About Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.                                                                                 Show less",1 week ago,https://il.linkedin.com/jobs/view/software-engineer-infrastructure-at-meta-3956608734?position=29&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=H6r%2Boqt5Si7B2hD1G%2F7o8g%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Tripteam - Friends in every city,Full Stack Junior Developer,"Tel Aviv District, Israel",,2 days ago,https://il.linkedin.com/jobs/view/full-stack-junior-developer-at-tripteam-friends-in-every-city-3962554309?position=33&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=2QPkmtMogjT%2B%2BecNEoTLpQ%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Navina,Full Stack Engineer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,1 week ago,https://il.linkedin.com/jobs/view/full-stack-engineer-at-navina-3958521866?position=34&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=wcpfCrs9IzTmI7gOocpOBg%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
NetApp,Software Engineer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,6 days ago,https://il.linkedin.com/jobs/view/software-engineer-at-netapp-3960700830?position=37&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=uf0PaHtD3oYbXmqVI8pmEA%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Moon Active,Junior Full Stack Developer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,3 minutes ago,https://il.linkedin.com/jobs/view/junior-full-stack-developer-at-moon-active-3966050945?position=55&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=XYpRwxgBSfzbiuqsFpfsVg%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Earnix,Backend Developer,"Ramat Gan, Tel Aviv District, Israel",,1 week ago,https://il.linkedin.com/jobs/view/backend-developer-at-earnix-3954164768?position=56&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=J8ivjcyxoF1yzLGp4PfgPA%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Flow Security,Software Engineer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,1 year ago,https://il.linkedin.com/jobs/view/software-engineer-at-flow-security-3623805357?position=57&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=Og0lxFvqwr%2FTj80NVVeD9g%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Wix,Fullstack Developer,"Tel Aviv-Yafo, Tel Aviv District, Israel",,1 week ago,https://il.linkedin.com/jobs/view/fullstack-developer-at-wix-3955627498?position=58&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=Hx2jtSDOsSKbAH5u3It0jw%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Cato Networks,Junior C Developer,"Tel Aviv District, Israel",,1 week ago,https://il.linkedin.com/jobs/view/junior-c-developer-at-cato-networks-3923488766?position=60&pageNum=0&refId=mZMG2wlOhckNJbf77da9LA%3D%3D&trackingId=9v7EF%2BRP4q26khJaTXK26Q%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
Intuit,"Software Engineer, Bill Pay","Petah Tikva, Center District, Israel","OverviewIntuit is a global technology platform that helps our customers and communities overcome their most important financial challenges. We helpgive over 50 million consumers, small business, and self-employed customers around the world the opportunity to prosper.Join the QuickBooks B2B Group as a Front-End Software Engineer (SWE2), developing the Bill-pay experience for Intuit!In this role you’ll be part of an innovative team that creates the next generation of Intuit’s payment mechanism, helping small business to get paid faster.If you love having real world challenges, and making customers incredibly happy whilst fostering your obsessive need for perfect code and user experience, this is the job for you.You will collaborate with many teams in Intuit and contribute to many components in different Business Units.We love engineers who lead the change, are not afraid of technical challenges, communicating with customers and delivering the most beautiful and intuitive applications. If you want to learn from the best – Intuit is the right company for you.What you'll bring2-3 years of hands-on experience developing web applicationsSolid development fundamentals and good Frontend architectural understandingExperience with:web services (consuming or creating) with RESTA solid grasp of JavaScript fundamentals such as closures, prototype, callbacks, promises, error handlingExperience with one or more of the following Languages/frameworks: React, Angular, HTML+CSSUnit testing frameworks & mocking, integration testingCSS Modules, TypeScript, Node.js, ReduxSelf-starter with a strong work ethic and a passion for problem-solvingAbility to work independently and to multi-taskSolid communication skills: Demonstrated ability to explain complex technical issues to both technical and non-technical audiencesExperience working with cross-functional teams while maintaining effective working relationshipsStrong “can-do” approach, creativity and learning mindset. Ability to meet deadlines and think strategicallyBachelor's or Master’s degree in Computer Science, or equivalent experienceHow you will leadSuccessful delivery of high-quality software (requirements, design, code, documentation, etc.)Complete ownership over projects and features quality efforts (testing, urgent patches deployment, etc.)Contribute to early quality activities, including peer reviews of estimates, designs and code.Production support involved with monitoring systems and remediating issuesPartner effectively with all team members to deliver against commitmentsWork cross-functionally with various Intuit teams (Product Management, QA, various product lines or business units) to drive forward resultsCommitment to team success and positive team dynamicsOccasionally engage with customers to get a first-hand understanding of their needs                                                                         Show less",2 days ago,https://il.linkedin.com/jobs/view/software-engineer-bill-pay-at-intuit-3963831965?position=15&pageNum=0&refId=95gTXLfao%2B%2BRdIBh4sWnMg%3D%3D&trackingId=fjE%2B0yMou2eLJajkHm2cjw%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
NextSilicon,Embedded Software Engineer,"Givatayim, Tel Aviv District, Israel",,15 hours ago,https://il.linkedin.com/jobs/view/embedded-software-engineer-at-nextsilicon-3962964180?position=22&pageNum=0&refId=95gTXLfao%2B%2BRdIBh4sWnMg%3D%3D&trackingId=3IspItjwOb1mfTVhDrDG3Q%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
AudaCity Capital Management,Full Stack Developer (MERN),Israel,,2 days ago,https://il.linkedin.com/jobs/view/full-stack-developer-mern-at-audacity-capital-management-3962705897?position=24&pageNum=0&refId=95gTXLfao%2B%2BRdIBh4sWnMg%3D%3D&trackingId=NfQMYbDRg2Ou%2FfCcO4xyHw%3D%3D&trk=public_jobs_jserp-result_search-card,-1.0
